headings,label
" ‌ସରପଞ୍ଚ ଉଠାଇ ନେଇଥିଲେ ରାସନ୍‌ ସାମଗ୍ରୀ, ଅଭିଯୋଗ ପରେ ବି ସମସ୍ତେ ଚୁପ୍‌ ",state
 ସହିଦଙ୍କୁ ଝୁରୁଛି ଜନ୍ମମାଟି : ଶୋକରେ ଡୁବିଛି ବଡ଼ଚମ୍ପାଉଦା ଗାଁ ,state
 ଗିଳିଦେଲେ ଗରିବଙ୍କ ଦାନା ,state
 ନିୟମଗିରିରେ ପୁଲିସ-ମାଓ ଗୁଳି ବିନିମୟ ,state
" ଆସନ୍ତା ୨୪ଘଣ୍ଟା ଯାଏଁ ରାଜ୍ୟର ଏସବୁ ଜିଲ୍ଲାରେ ପ୍ରବଳ ବର୍ଷା ସମ୍ଭାବନା, ୩୦ରୁ ୪୦କିମି ବେଗରେ ବହିବ ପବନ ",state
 ଆଜିଠୁ ୧୧ ଜିଲ୍ଲା ଦୁଇଦିନିଆ ସଟ୍‌ଡାଉନ୍‌ ,state
 ଦଶପଲ୍ଲା : ଘରେ ପଶି କଲେଜ ଛାତ୍ରୀଙ୍କୁ ହତ୍ୟା ,state
" ମାଛମରା କାଳ ହେଲା, ଜାଲରେ ଛନ୍ଦି ହୋଇ ପାଣିରେ ବୁଡ଼ିଗଲେ ୫୦ ବର୍ଷିୟ ବ୍ୟକ୍ତି ",state
" କରୋନା ତାଲିମ୍‌ ନେଲେ ୫୦୦ ଡାକ୍ତରୀ ଛାତ୍ରଛାତ୍ରୀ, ଘରେ ବସି ‘ଜୁମ୍‌ ଆପ୍‌’ରେ ନେଲେ ତାଲିମ୍‌ ",state
" ଖରାପ ପାଗ ଯୋଗୁଁ ଓହ୍ଲାଇ ପାରିଲାନି ବିମାନ, ଝାରସୁଗୁଡ଼ାରେ ଓହ୍ଲାଇ ନପାରି ଭୁବନେଶ୍ବର ଫେରିଗଲା ",state
 ମାନ୍ଦାମାଡ଼ ପରେ କରୋନା କୋପ : ଇସ୍ପାତ ରାଜଧାନୀର ଅଧିକାଂଶ କାରଖାନାରେ ଉତ୍ପାଦନ ଠପ୍ ,state
" ରାଜ୍ୟରେ ଦୁଇ ଦିନ ଯାଏ ସର୍ବନିମ୍ନ ତାପମାତ୍ରା ବଢ଼ିବ, ୭ ଓ ୮ ତାରିଖରେ ଉପକୂଳ ଓ ଉତ୍ତର ଓଡ଼ିଶାରେ ଘର୍ଣ୍ଣିଝଡ଼ ସହ… ",state
 ବିଶିଷ୍ଟ କଥାକାର ରାମପ୍ରସାଦ ପୁରୋହିତଙ୍କ ପରଲୋକ ,state
" ଆସନ୍ତା ୩ ଦିନ ପର୍ଯ୍ୟନ୍ତ ବନ୍ଦ ରହିବ ବ୍ୟାଙ୍କ, ଦେଖାଯାଇପାରେ ଟଙ୍କାର ସମସ୍ୟା ",state
 ‌ଆଜି ହଟିବ କଟକଣା: ଶ୍ରୀମନ୍ଦିର ପ୍ରଶାସନ ଆସନ୍ତାକାଲି ୟେସ୍ ବ୍ୟାଙ୍କରୁ ଉଠାଇବ ୩୮୯ କୋଟି ,state
 କାଳ ହେଲା ମିଛିମିଛିକା ଆତ୍ମହତ୍ୟା ଅଭିନୟ : ଟିକ୍‌ଟକ୍ ନେଲା ନାବାଳକଙ୍କ ଜୀବନ ,state
" ମହଙ୍ଗା ହେଲା ପ୍ରଦୂଷଣ ନିୟନ୍ତ୍ରଣ ପ୍ରମାଣପତ୍ର, ୧୮ ପ୍ରତିଶତ ଜିଏସ୍‌ଟି ଲାଗୁ ",state
" ବାଲେଶ୍ୱରର ଏକ କଣ୍ଟେନମେଣ୍ଟ ଜୋନ୍‌ ଗୋଷ୍ଠୀ ସଂଘର୍ଷ, ସୋସିଆଲ୍ ମିଡିଆରେ ଭିଡିଓ ଭାଇରାଲ୍ ",state
 ଲାଲ୍ ବାହିନୀର ତାଣ୍ଡବ ପରେ ନିୟମଗିରିରେ ପଶିଲେ ଯବାନ ,state
" ଆହୁରି ଦେଢ଼ ଲକ୍ଷ ଫେରିବେ, ଆଗ୍ନେୟଗିରି ମୁହଁରେ ଗଞ୍ଜାମ, ଦିନକରେ ୫୨ ",state
" ନବ ନିଯୁକ୍ତ ଡାକ୍ତରଙ୍କ ପାଇଁ ଶେଷ ସୁଯୋଗ ଦେଲେ ସରକାର, ୨୦ ତାରିଖ ସୁଦ୍ଧା କାର୍ଯ୍ୟରେ ଯୋଗଦେବାକୁ ସ୍ବାସ୍ଥ୍ୟ ବିଭାଗର… ",state
 ରାଜ୍ୟରେ ଚିହ୍ନଟ ହେଲେ ଆଉ ୧୪୩ ନୂଆ କରୋନା ଆକ୍ରାନ୍ତ ,state
 ରଥଯାତ୍ରା କାଳରେ କୋଭିଡ୍‌-୧୯ ଆକ୍ରାନ୍ତଙ୍କ ସଂଖ୍ୟାରେ ବୃଦ୍ଧି ଘଟିଲେ ରଥଯାତ୍ରାକୁ ବନ୍ଦ ରଖିପାରିବେ ରାଜ୍ୟ ସରକାର:… ,state
" ଠେଲାପେଲା ପାଇଁ ବନ୍ଦ ରହିଲା ଭତ୍ତା ବଣ୍ଟନ, ମାନିଲେନି ସାମାଜିକ ଦୂରତା ",state
 କେତେ ଅଘଟଣ ପରେ ସରକାର ଚେତିବେ! ,state
 ଅଗଷ୍ଟ ୩୧ ପର୍ଯ୍ୟନ୍ତ ରାଜ୍ୟର ସମସ୍ତ ସ୍କୁଲକଲେଜ ଓ ଶିକ୍ଷାନୁଷ୍ଠାନ ବନ୍ଦ ,state
" ଜାତୀୟ ରାଜପଥ କଡ଼ରେ ଖୋଲିବ ଢାବା, ଗ୍ୟାରେଜ୍‌, ସ୍ପେୟାର ପାର୍ଟସ୍‌ ଦୋକାନ ",state
 ୧୩ ଜିଲ୍ଲା ଲାଗି ୱେଲୋ ୱାର୍ଣ୍ଣିଂ : ପ୍ରବଳ ବର୍ଷା ସହ ବଜ୍ରପାତ ହେବା ନେଇ ସତର୍କ ସୂଚନା ଜାରି କଲା ପାଣିପାଗ ବିଭାଗ ,state
 କରୋନା ଆଣିଲା ଦୁଃଖ : ଜଗାର ଚିକିତ୍ସା ଅଧାରୁ ବନ୍ଦ ,state
" ସ୍କୁଲସ୍ତରରୁ ହକି କୋଚିଂ : ପ୍ରଥମ ପର୍ଯ୍ୟାୟରେ ୭ ସ୍କୁଲ ଚିହ୍ନଟ, ସ୍କୁଲ ସମୟ ପୂର୍ବରୁ କିମ୍ବା ପରେ ତାଲିମ ",state
 ସଫଳତାର ସହ ସଂଗରୋଧ କେନ୍ଦ୍ର ଅବଧି ଶେଷ କଲେ ପ୍ରବାସୀଙ୍କୁ ମିଳିବ ଅନୁକମ୍ପାମୂଳକ ୨୦୦୦ ଟଙ୍କା ,state
 କ୍ୟାବିନେଟ୍‌ ନିଷ୍ପତ୍ତି : ଗୋଟିଏ ଦିନରେ ମିଳିବ ବ୍ୟାବସାୟିକ ଲାଇସେନ୍‌ସ୍‌ ,state
 ପଙ୍ଗପାଳକୁ ନେଇ ଆତଙ୍କରେ ସୀମାବର୍ତ୍ତୀ ଚାଷୀ ,state
" ଅତି ଭୀଷଣ ରୂପ ନେଇପାରେ ‘ଆମ୍ଫାନ’ : ଓଡ଼ିଶା ଉପରେ ପ୍ରଭାବ ନେଇ ଏବେ ବି ଚିତ୍ର ଅସ୍ପଷ୍ଟ, ୧୯ରେ ପ୍ରବଳ ବର୍ଷା… ",state
 ରାଜକନିକା ବିଡିଓଙ୍କ ଗୁଣ୍ତାଗିରି : ଅଫିସ୍‌କୁ ଡକାଇ ଦୁଇ ସାମ୍ବାଦିକଙ୍କୁ ପିଟିଲେ ,state
" କରୋନା ମୁକାବିଲା ପାଇଁ ହାତ ଖୋଲିଲେ ନବୀନ, ୨୨୦୦ କୋଟିର ପ୍ୟାକେଜ୍ ",state
 ରାଜ୍ୟରେ ୨୦୧୨ ଶିବିରରେ ଅଟକି ରହିଛନ୍ତି ବିଭିନ୍ନ ରାଜ୍ୟର ୭୦ ହଜାର ଅତିଥି ଶ୍ରମିକ ,state
 ଜନ ସମାଗମ ରୋକିବାକୁ ପଦକ୍ଷେପ : କରୋନା ସଂକ୍ରମଣକୁ ରୋକିବା ଲାଗି ୭ ଜିଲ୍ଲାରେ ୧୪୪ ଧାରା ,state
" ପୁରୀ ରେଳ ଷ୍ଟେସନରେ ନାହିଁ କରୋନା ସ୍କ୍ରିନିଂ ବ୍ୟବସ୍ଥା, ପ୍ରତିଦିନ ଆସୁଛନ୍ତି ବାହାର ରାଜ୍ୟରୁ ହଜାର ହଜାର… ",state
" ୫ହଜାର ରାପିଡ ଆଣ୍ଟିଜେନ୍ କିଟ୍ ଦିଅ, ସ୍ବାସ୍ଥ୍ୟ ବିଭାଗକୁ ଚିଠି ଲେଖିଲା ଆରଏମ୍‌ଆରସି ",state
 ମୃତ୍ୟୁ ଅପେକ୍ଷାରେ ଲୋହରାଖଣ୍ଡି ନଦୀ : ଭଞ୍ଜନଗରର ଲାଇଫ୍ ଲାଇନ ପାଲଟିଛି ଜହର ,state
 ଭାଙ୍ଗିବନି ପରଂପରା: ଲକ୍‌ଡାଉନ୍ ନିୟମ ମାନି ୨୭ରେ ପାଳନ ହେବ ପ୍ରଭୁ ଶ୍ରୀଲିଙ୍ଗରାଜଙ୍କ ଶୀତଳ ଷଷ୍ଠୀ ଯାତ୍ରା ,state
" ଜଗନ୍ନାଥଙ୍କ ଜମି ବିକ୍ରି ଘଟଣା : ନୋଟାରି ବଣ୍ତ ବି ନକଲି, ଥାନାରେ ଏତଲା ଦେଲେ ଆଇନଜୀବୀ, ଜିଲ୍ଲାପାଳଙ୍କ… ",state
" କଣ୍ଟାବାଞ୍ଜି ବିଧାନସଭା ନିର୍ବାଚନୀ ମାମଲା : କମିସନ୍, ଅଧିକାରୀଙ୍କୁ ବାଦ୍‌ ଦେବାକୁ ନିର୍ଦ୍ଦେଶ ",state
 ଖବରକାଗଜ ବିତରଣ ସକାଳ ୫ରୁ ୮ଟା ,state
 ଗତିଶୀଳ ହେଲା ସୁବର୍ଣ୍ଣରେଖା ବହୁମୁଖୀ ପ୍ରକଳ୍ପ : ଇଚ୍ଚା ଡ୍ୟାମ୍ ନିର୍ମାଣ ପାଇଁ ଜମି ଅଧିଗ୍ରହଣ ନୋଟିସ୍ ,state
 ଏଣିିକି ବିଧାନସଭା ବିବରଣୀ କମ୍ପ୍ୟୁଟରୀକୃତ ହେବ ,state
" ପ୍ରବାସୀ ଶ୍ରମିକ ଓ ଗ୍ରାମାଞ୍ଚଳର ଗରିବଙ୍କୁ ଦୁଇଓଳି ରନ୍ଧା ଖାଦ୍ୟ ଦେବେ ସରକାର, ଜିଲ୍ଲାପାଳଙ୍କୁ ଚିଠି ଲେଖିଲେ… ",state
" ନୂଆ ୬୭ କରୋନା ଆକ୍ରାନ୍ତଙ୍କ ସଂପର୍କରେ ତଥ୍ୟ ପ୍ରଦାନ କଲେ ରାଜ୍ୟ ସରକାର, ୨୮ଜଣ ଗୁଜୁରାଟ ଫେରନ୍ତା ",state
 ମେ’ ମାସରେ ଥଣ୍ଡା ଜ୍ବର ପାଇଁ ଔଷଧ ନେଇଛନ୍ତି ୪୦ହଜାରରୁ ଅଧିକ ,state
 ପ୍ରସ୍ତୁତ ହେଉଛି ‘କମନ୍‌ ସ୍କଲାରସିପ୍‌ ପୋର୍ଟାଲ’ ,state
 ଶଙ୍କରାଚାର୍ଯ୍ୟଙ୍କୁ ଶ୍ରୀମନ୍ଦିର ମୁଖ୍ୟ ପ୍ରଶାସକ ଓ ଗଜପତି ଭେଟିବା ପରେ ପରବର୍ତ୍ତୀ ନିଷ୍ପତ୍ତି ,state
 ଗୁରୁ କେଳୁଚରଣ ମହାପାତ୍ରଙ୍କୁ ଡିଜିଟାଲରେ ଶ୍ରଦ୍ଧାସୁମନ ,state
 ସମ୍ବେଦନଶୀଳ ବିଦ୍ୟୁତ ସରବରାହ ସ୍ଥାନଗୁଡ଼ିକୁ ଚିହ୍ନଟ କର: ଶକ୍ତି ମନ୍ତ୍ରୀ ,state
 ସାଧାରଣତନ୍ତ୍ର ଦିବସ ପରେଡରେ ଦ୍ବିତୀୟ ସ୍ଥାନ ପାଇଲା ଓଡ଼ିଶାର ପ୍ରଜ୍ଞାପନ ମେଢ଼ ; ଶୁଭେଚ୍ଛା ଜଣାଇଲେ ମୁଖ୍ୟମନ୍ତ୍ରୀ ,state
 ରାଜ୍ୟରେ ଆଉ ୩ ପଜିଟିଭ୍ ଚିହ୍ନଟ : ମୋଟ୍ ଆକ୍ରାନ୍ତଙ୍କ ସଂଖ୍ୟା ୮୨ ଛୁଇଁଲା ,state
 ସାହିତ୍ୟିକ ଓ ସମାଜସେବୀ ପ୍ରମୋଦ କୁମାର ସାହୁଙ୍କ ପରଲୋକ ,state
" ଯାଜପୁର : ୫ ଡିଲରଙ୍କୁ ବିଦାକଲା ପ୍ରଶାସନ, ଭୋକିଲାଙ୍କ ହଡ଼ପ ଚାଉଳ ମିଳିବ କେବେ? ",state
 ବକେୟା ବିଦ୍ୟୁତ୍‌ ବିଲ୍‌ ବାବଦରେ ଗୋଟିଏ ଦିନରେ ୨ କୋଟି ଟଙ୍କା ସଂଗ୍ରହ କଲା ୱେସ୍କୋ ,state
" ୨୦ରୁ ରାଜ୍ୟରେ ଅଣ୍ଡା ଦର ସ୍ଥିର କରିବ ନେକ୍ ବ୍ରହ୍ମପୁର, ରାଜଧାନୀ‌ ସମେତ ରାଜ୍ୟରେ ଖୋଲିବ ୧୦୦ ଆଉଟଲେଟ୍‌ ",state
" ରାଜ୍ୟରେ ୫୫୬୭ କୋଟିର ପୁଞ୍ଜିନିବେଶ, ୯ ହଜାର ନିଯୁକ୍ତି ସୁଯୋଗ ",state
 ବୁର୍ଲା ବଡ଼ ଡାକ୍ତରଖାନାରେ ସମ୍ଭାବ୍ୟ କରୋନା ମୁକାବିଲା : ଥଣ୍ଡା ରୋଗୀଙ୍କ ପାଇଁ ସ୍ୱତନ୍ତ୍ର ପଞ୍ଜୀକରଣ କାଉଣ୍ଟର ଓ… ,state
" ଓଏଲ୍ଏମ୍, ଓରମାସ୍‌ରେ ଅନିୟମିତତା! ",state
 ଓଡ଼ିଶାରେ କରୋନା: ୧୧୦ରୁ ୨ ଜଣ ପଜିଟିଭ୍‌ ,state
" ଭୁବନେଶ୍ବର ପରେ କେନ୍ଦୁଝର, ମୟୂରଭଞ୍ଜ, ଭଦ୍ରକ ଓ ଝାରସୁଗୁଡ଼ା ଜିଲ୍ଲାରେ ଲାଗୁ ହେଲା ଯୁଗ୍ମ-ଅଯୁଗ୍ମ ଗାଡ଼ି ଚଳାଚଳ… ",state
" ସବୁ ଅଟକିଗଲା : ବସ୍‌, ଅଟୋ, ଟ୍ୟାକ୍ସି ଚାଲିଲାନି, ଦୋକାନବଜାର ବନ୍ଦ ",state
" ସବୁ ସରକାରୀ ଓ ଘରୋଇ ଡାକ୍ତରଖାନା ଶ୍ବାସ ଓ ଇନଫ୍ଲୁଏଞ୍ଜା ରୋଗୀଙ୍କ ତଥ୍ୟ ସରକାରଙ୍କୁ ଦେବେ, ନହେଲେ କଡା… ",state
" ମାଲକାନଗିରି ପୀଡ଼ିତାଙ୍କ ମୃତ୍ୟୁ, ସ୍ପଷ୍ଟ ହୋଇପାରୁ ନାହିଁ ମୃତ୍ୟୁର ରହସ୍ୟ ",state
" ଲୋୟର ସୁକତେଲ ପ୍ରସଙ୍ଗ : କରୋନା ପାଇଁ ଆନ୍ଦୋଳନ ସ୍ଥଗିତ, ଏକ୍ସନ କମିଟିର ବଡ଼ତେଲେନପାଲି ଗସ୍ତ ",state
" କରୋନାର ପ୍ରଭାବ: ଉଜୁଡ଼ିଗଲା ପରିବାର, ପୁଅର ମୃତ୍ୟୁ ପରେ ବାପା-ମା’ଙ୍କ ଆତ୍ମହତ୍ୟା ",state
 ଉଦ୍ଧାର ପାଇଁ ମୁଖ୍ୟମନ୍ତ୍ରୀଙ୍କୁ ଗୁହାରି କଲେ କୋଟାରେ ଫସିଥିବା ୩୦୦ ଛାତ୍ରଛାତ୍ରୀ ,state
 ଶ୍ରୀଜଗନ୍ନାଥଙ୍କ ଅଣସର ସଂପର୍କରେ ଜାଣିଥିବା ଓଡ଼ିଆଙ୍କ ଲାଗି ନୂଆ ନୁହେଁ ‘ସଙ୍ଗରୋଧ’ ,state
 ଇଡ୍‌କୋର ପ୍ରାକ୍ତନ ସିଏମଡି ଏଲ.ଏନ ବାରିକଙ୍କ ପରଲୋକ ,state
" ଯୁକ୍ତ୨ ଇ-ମୂଲ୍ୟାୟନ ଆରମ୍ଭ, ମାତ୍ର ଦୁଇଟି କେନ୍ଦ୍ରରେ ହେଲା ଖାତା ଦେଖା ",state
" ସଡ଼କ ଦୁର୍ଘଟଣାରେ ଚାଲିଗଲା ପିଉସୀ-ଝିଆରୀଙ୍କ ଜୀବନ, ଗୋଟିଏ ସ୍କୁଲରେ ଉଭୟ ଥିଲେ ଶିକ୍ଷୟିତ୍ରୀ ",state
 ଦେଶର ଶ୍ରେଷ୍ଠ ୧୦୦ ମଧ୍ୟରେ ଓଡ଼ିଶାର ୪ଟି ଉଚ୍ଚ ଶିକ୍ଷାନୁଷ୍ଠାନ ,state
" କରୋନା: ଆଜି ପରୀକ୍ଷା ହୋଇଥିବା ୨୧୩ ସ୍ୱାବ ନମୁନା ନେଗେଟିଭ, ନିଜାମୁଦ୍ଦିନ୍ ଫେରନ୍ତା ୧୯ ଜଣଙ୍କ ନମୁନା ବି ନେଗେଟିଭ ",state
" ଆଜି ଅକ୍ଷୟ ତୃତୀୟା, ଠପ୍‌ ହେବ ୧୫୦ କୋଟିର ସୁନା କାରବାର ",state
 ୫୩ ଦିନ ଧରି ମୃତ୍ୟୁ ସହ ସଂଗ୍ରାମ ଆଖି ବୁଜିଲେ ନୂଆପଡ଼ାର ସହାୟକ ଜିଲ୍ଲାପାଳ ,state
 ରାଜୀବ ସେବା କେନ୍ଦ୍ର ନାଁରେ ଟଙ୍କା ହଡ଼ପ ଘଟଣା : ଭିଜିଲାନ୍‌ସର ଖୋଳତାଡ଼ ଆରମ୍ଭ ,state
" ଆଜି ରାତିରୁ ରାଜ୍ୟବ୍ୟାପୀ ଲକ୍‌ ଡାଉନ୍, ବଳକା ୧୬ ଜିଲ୍ଲାରେ ଲାଗିଲା କଟକଣା ",state
" ଭଦ୍ରକରେ କରୋନା ଆକ୍ରାନ୍ତଙ୍କ ସଂଖ୍ୟା ଛୁଇଁଲା ୧୭୭, ଆତଙ୍କିତ ଭଦ୍ରକବାସୀ ",state
 ଭିଡିଓ ଟୁଇଟ୍ କରି ମୁଖ୍ୟମନ୍ତ୍ରୀ କରୋନା ନେଇ ଜନସାଧାରଣଙ୍କୁ ସଚେତନ କରାଇଲେ ,state
" ଭୂତ ଠିକାଦାରଙ୍କ ରାସ୍ତା କେଳେଙ୍କାରୀ : କନିଷ୍ଠ ଯନ୍ତ୍ରୀ ବହିଷ୍କୃତ, ଏସ୍‌ଡିଓ ନିଲମ୍ବିତ ",state
 ଦୁର୍ଘଟଣାରୁ ଅଳ୍ପକେ ବର୍ତ୍ତିଲେ ବିଧାୟକ ରମେଶ ,state
" ପୁଣି ଗଞ୍ଜାମ ଜିଲ୍ଲାର ୧୦ଜଣ କରୋନା ଯୋଦ୍ଧା ପଜିଟିଭ୍ ଚିହ୍ନଟ, ସୂଚନା ଦେଲେ ଜିଲ୍ଲାପାଳ ",state
 କେନ୍ଦୁପତ୍ର ଶ୍ରମିକଙ୍କ ଛଟେଇର ପ୍ରତିବାଦ କଲା ବିଜେପି ,state
 ଗୋଟିଏ ଦିନରେ ସର୍ବାଧିକ ୩୪ ଜଣ କରୋନା ପଜିଟିଭ ଚିହ୍ନଟ ,state
 ପହଣ୍ଡିରେ ଆସିଲେ ବଡ ଭାଇ ପ୍ରଭୁ ଶ୍ରୀ ବଳଭଦ୍ର ଓ ଭଉଣୀ ସୁଭଦ୍ରା ,state
 ‘କ‌େରାନା’ ଭୟ : ନଜରରେ ଚୀନ ଫେରନ୍ତା କାକଟପୁର ଯୁବକ ,state
 ୩ ଡାକ୍ତର ଓ ୧୯ ସ୍ବାସ୍ଥ୍ୟକର୍ମୀଙ୍କୁ କ୍ୱାରେଣ୍ଟାଇନରେ ରଖିଲା ଯାଜପୁର ଜିଲ୍ଲା ପ୍ରଶାସନ ,state
" ଶେଷ ହେଲା ପ୍ରଥମ ପର୍ଯ୍ୟାୟ ବଜେଟ ଅଧିବେଶନ, ମାର୍ଚ୍ଚ ୧୧ରୁ ୨ୟ ପର୍ଯ୍ୟାୟ ",state
" ଭାଇ ବାସନ୍ଦ ପାଇଁ ଶବକୁ ଦଣ୍ଡ, ଗାଁରୁ ପୁଣିଥରେ ଡାକ୍ତରଖାନାକୁ ଫେରିଲା ",state
 କରୋନାକୁ କହନ୍ତୁ ନା…ବନନ୍ତୁ ନାହିଁ ପେସେଣ୍ଟ୍‌ ନଂ ୩୧ ! ,state
 କରୋନା ଚିନ୍ତା: ସମଲେଶ୍ବରୀ ମନ୍ଦିରରେ ଗର୍ଭଗୃହ ଦର୍ଶନ ବନ୍ଦ ,state
" ପୁଣି ଟ୍ରାଙ୍କୁଲାଇଜ୍‌ ହେଲା ବାଘୁଣୀ ‘ସୁନ୍ଦରୀ’: ଦୁଇ ବର୍ଷରେ ତୃତୀୟ ଥର ପାଇଁ କରାଗଲା ଟ୍ରାଙ୍କୁଲାଇଜ୍‌, ବେକରୁ… ",state
" ମଦ ଦୋକାନୀଙ୍କୁ ଅନୁକମ୍ପା: ୩ ମାସର ଲାଇସେନ୍ସ ଫି, ଏମ୍‌ଜିକ୍ୟୁ ଛାଡ଼ ",state
 ଯାଜପୁରରେ ଅବସରପ୍ରାପ୍ତ ଡାକ୍ତରଙ୍କୁ ମରଣାନ୍ତକ ଆକ୍ରମଣ ,state
 ମାରାତ୍ମକ କରୋନାଭାଇରସ୍ ସଂକ୍ରମଣ ମୁକାବିଲା ନେଇ ରାଜ୍ୟ ସରକାରଙ୍କ ରହିଛି ଏଭଳି ପ୍ରସ୍ତୁତି ,state
" ବାହାର ରାଜ୍ୟରୁ ମୟୂରଭଞ୍ଜ ଫେରୁଥିବା ଯୁବଗୋଷ୍ଠୀଙ୍କୁ ନିଯୁକ୍ତି ପ୍ରସଙ୍ଗ : ପର୍ଯ୍ୟଟନ ସାଜିପାରେ ବିକଳ୍ପ ଶିଳ୍ପ,… ",state
 ଲୋକମାନେ ‘ତାଲାବନ୍ଦ’ର ମହତ୍ୱ ବୁଝନ୍ତୁ: ଆରୋଗ୍ୟ ଲାଭପରେ କହିଲେ ପ୍ରଥମ କରୋନା ଆକ୍ରାନ୍ତ ବ୍ୟକ୍ତି ,state
" ବିହାରକୁ ଚାଲି ଚାଲି ଯାଉଥିଲେ, ଜିଲ୍ଲାପାଳଙ୍କ ନିର୍ଦେଶରେ ଉଦ୍ଧାର ",state
 ସମ୍ବରରେ ଲୁଣ ପଡ଼ି ନ ଥିବା ଅଭିଯୋଗ କରି ଖାଦ୍ୟ ଫିଙ୍ଗିଦେଲେ ସଂଗରୋଧରେ ଥିବା ଶ୍ରମିକ ,state
" ଶ୍ରୀମନ୍ଦିରକୁ ବଜ୍ରପାତ ଭୟ, ଦୁର୍ବଳ ଆର୍ଥିଂ ବଢ଼ାଇଲା ବିପଦ ",state
" ଯାଜପୁର ଜିଲ୍ଲାର ପୁଣି ଜଣେ ପଜିଟିଭ୍ ଚିହ୍ନଟ, ଜିଲ୍ଲାରେ କରୋନା ଆକ୍ରାନ୍ତଙ୍କ ସଂଖ୍ୟା ୩୮ରେ ପହଞ୍ଚିଲା ",state
" ଭୁବନେଶ୍ୱରରେ ପହଞ୍ଚିଲେ ପଶ୍ଚିମବଙ୍ଗ ମୁଖ୍ୟମନ୍ତ୍ରୀ, ବିମାନବନ୍ଦରରୁ ସିଧା ପୁରୀ ଗଲେ ମମତା ",state
" କରୋନା ଭାଇରସ୍‌: ଆଜି ସୁସ୍ଥ ହେଲେ ୨୦୩ ଜଣ, ରାଜ୍ୟରେ ସୁସ୍ଥଙ୍କ ସଂଖ୍ୟା ୪୯୪୬ ",state
 ଆସନ୍ତା ୪୮ ଘଣ୍ଟା ମଧ୍ୟରେ ଆଭ୍ୟନ୍ତରୀଣ ଓ ଉପକୂଳ ଓଡ଼ିଶାରେ ପ୍ରବଳ ବର୍ଷା ସମ୍ଭାବନା ,state
 ଯାଜପୁର ରାସନ୍‌ ଘୋଟାଲା : ଭୂତକାର୍ଡକୁ ପଦାକୁ ଆଣିଲା କରୋନା ଭୂତାଣୁ ,state
 ଜେଲ୍ ବିଭାଗର ନୂଆ ନିଷ୍ପତ୍ତି : ନିଜ ଜିଲ୍ଲାରେ ଅଫିସରଙ୍କୁ ନିଯୁକ୍ତି ମନା ,state
 ରାଜପଥରେ ଗଡ଼ିଲା ପ୍ରଭୁ ଲିଙ୍ଗରାଜଙ୍କ ରୁକୁଣା ରଥର ମେଢ଼ ,state
 ୬୦ବର୍ଷରୁ ଅଧିକ ୯ଜଣଙ୍କ କରୋନାରେ ମୃତ୍ୟୁ ,state
